frase_id,frase,multi_vote,majority_vote,agreement_rate,annotators,total_annotations,n_labels_multi
1035344,"Que homem foi feito direito, do jeito que é feito o.","[""identidade""]",identidade,50.0,2,2,1
1035371,Será que ela não fica afoita pra dançar na chama da batalha?.,"[""outros""]",outros,50.0,2,1,1
1035504,"Eu sou tio, ela é tia.","[""papel_social""]",papel_social,50.0,2,1,1
1035775,"Maria é muito prosa, é mentirosa, mas é gostosa demais.","[""aparencia""]",aparencia,100.0,2,4,1
1036004,Johnny é executivo de uma multilegal.,"[""identidade""]",identidade,100.0,2,3,1
103615,Minha mansão sempre estará lotada de mulheres belas.,"[""identidade""]",identidade,50.0,2,2,1
1036612,"A lua poderosa, mulher muito fogosa.","[""identidade""]",identidade,50.0,2,3,1
103708,"Barro ou mulher bonita,  tá tranquilo, vamo que vamo.","[""aparencia""]",aparencia,100.0,2,3,1
103729,Quer deixar ele feliz?,"[""outros""]",outros,50.0,2,1,1
1037689,A moça é capaz de se aborrecer.,"[""habilidades""]",habilidades,50.0,2,1,1
1037690,Por trás de um homem triste.,[],,0.0,2,0,0
1037691,Há sempre uma mulher feliz.,"[""comportamentos""]",comportamentos,100.0,2,3,1
1037693,Mil homens sempre tão gentis.,"[""comportamentos""]",comportamentos,50.0,2,2,1
1038473,Ele é filho do verde.,[],,0.0,2,0,0
1038474,Ele é filho da mata.,"[""identidade""]",identidade,100.0,2,3,1
1038502,Ele é filho do rei.,"[""papel_social""]",papel_social,50.0,2,2,1
103882,De lingerie elas vem louca pra me seduzir.,"[""habilidades""]",habilidades,50.0,2,2,1
1039015,Ele é o cordeiro infinito.,"[""identidade"", ""valores""]",identidade,100.0,2,4,2
1039022,Ele é o céu prometido.,"[""valores""]",valores,50.0,2,3,1
1039411,"Ele e ela sempre juntos, a caveira e seu amor.","[""aparencia""]",aparencia,50.0,2,2,1
1039714,Ela está sempre aberta e tem língua de serpente.,"[""comportamentos""]",comportamentos,100.0,2,3,1
104027,"Essa história não é minha, mas só que ela é real.","[""identidade""]",identidade,50.0,2,3,1
1040674,O homem mais forte do planeta.,"[""identidade"", ""habilidades""]",identidade,100.0,2,4,2
104068,Falei pra ele mano isso não é vida.,"[""outros""]",outros,100.0,2,3,1
1040809,"Ela é surda, ela é muda.","[""identidade""]",identidade,50.0,2,2,1
1040820,"Ela é cega, ela é burra.","[""identidade""]",identidade,100.0,2,4,1
1040821,Ela é explosão.,"[""outros""]",outros,50.0,2,1,1
1041342,Ele é o amor da sua vida.,"[""identidade""]",identidade,50.0,2,1,1
1041344,Seu namorado é um cuzão.,"[""comportamentos""]",comportamentos,100.0,2,3,1
1041349,Ele é o cara e eu sou só mais um.,"[""identidade""]",identidade,50.0,2,1,1
1041405,"Um namorado bonito, loiro, alto e rico.","[""identidade""]",identidade,50.0,2,2,1
1041499,A reza forte da mãe negra pra espantar o mau-olhado.,"[""papel_social""]",papel_social,100.0,2,3,1
1041905,E ele fica tonto.,"[""outros""]",outros,50.0,2,1,1
104196,Deixa ela ofegante.,"[""comportamentos""]",comportamentos,100.0,2,4,1
104227,"Ai que mulher gostosa, toma no cu.","[""aparencia""]",aparencia,100.0,2,2,1
104342,"Enquanto ele era álcool, puta e cocaína.","[""outros""]",outros,50.0,2,5,1
1047144,"Eu quero uma mulher normal do povo,.","[""identidade""]",identidade,100.0,2,3,1
1047145,Não quero uma mulher global de novo.,"[""aparencia""]",aparencia,50.0,2,4,1
104768,"Bota o dedo pro alto, deixa os homens loucos.","[""identidade""]",identidade,50.0,2,2,1
104933,Que eu vou comer aquela mina gostosa.,"[""identidade"", ""aparencia""]",identidade,100.0,2,4,2
1049513,Ela é populosa.,"[""identidade""]",identidade,50.0,2,2,1
104985,Morrer como homem é o prêmio da guerra.,"[""papel_social""]",papel_social,50.0,2,1,1
1050104,se está com ele está sozinha.,"[""identidade""]",identidade,50.0,2,3,1
1051162,Finalmente entendam porque eles ficam tão furiosos.,"[""habilidades""]",habilidades,50.0,2,3,1
105238,Ele era funkeiro.,"[""identidade""]",identidade,50.0,2,2,1
105282,"E bem antes da hora ele já estava arrumado
.","[""valores""]",valores,50.0,2,3,1
105286,Ele estava animado.,"[""identidade""]",identidade,50.0,2,2,1
105365,"Essa mina é uma loucura, sabe por quê?
.","[""identidade"", ""comportamentos""]",identidade,100.0,2,4,2
105386,"Essa mina é uma loucura, uma loucura.","[""identidade""]",identidade,100.0,2,2,1
1054964,Princesa d'água dos sonhos dourados.,"[""identidade""]",identidade,100.0,2,3,1
1056091,Te fez mulher bem brasileira.,"[""identidade""]",identidade,100.0,2,3,1
1056125,"Menina pobre, menina rica.","[""papel_social""]",papel_social,50.0,2,1,1
1056310,Só tem mulher desinibida.,"[""identidade""]",identidade,50.0,2,2,1
1056314,Com tanta mulher bonita.,"[""aparencia""]",aparencia,50.0,2,1,1
105636,"Ela anda sexy, toda guapetona.","[""comportamentos""]",comportamentos,50.0,2,1,1
105637,Ela não é amante.,"[""identidade""]",identidade,50.0,2,2,1
105639,Ela é fiel.,"[""identidade""]",identidade,100.0,2,3,1
1056413,Quando vê menino novo.,"[""identidade""]",identidade,50.0,2,3,1
1056421,Dizem que ela é uma santa sem imagem.,"[""identidade""]",identidade,100.0,2,5,1
1056558,Era um menino tocador.,"[""identidade""]",identidade,100.0,2,4,1
1056634,Menina tão louca.,"[""identidade""]",identidade,50.0,2,2,1
1056777,Menino lindo onde você for eu vou.,"[""aparencia""]",aparencia,50.0,2,1,1
1056930,Suas mulheres ficaram estéreis.,"[""identidade""]",identidade,50.0,2,2,1
1057358,uma mulher cheirosa tão linda como uma flor.,"[""identidade""]",identidade,50.0,2,2,1
1057484,Ela fica muito louca.,"[""identidade""]",identidade,50.0,2,2,1
1057617,Oh menina linda veja o que você fez comigo (x2).,"[""identidade""]",identidade,50.0,2,4,1
1057670,"Ai caramba, que mina maluca.","[""comportamentos""]",comportamentos,100.0,2,3,1
1057972,"E ele é feliz, ele é feliz.","[""identidade""]",identidade,50.0,2,2,1
1057973,"E ela é feliz, ela,ela.","[""identidade""]",identidade,50.0,2,2,1
1057981,Então ele é suspeito.,"[""identidade""]",identidade,50.0,2,1,1
1058233,Mara oh mulher maravilhosa.,"[""aparencia"", ""comportamentos""]",aparencia,100.0,2,6,2
1058447,"Menina gostosinha, eu sou o seu neguinho.","[""aparencia""]",aparencia,50.0,2,1,1
1059836,Corpo nu deusa lunar.,"[""aparencia""]",aparencia,100.0,2,4,1
1059932,A noite é princesa caída por mim.,"[""identidade""]",identidade,50.0,2,3,1
1061353,Uma garota tão perdida.,[],,0.0,2,0,0
1061484,Pra não esquecer - sua oferta ela boa.,"[""outros""]",outros,50.0,2,2,1
106149,"Pois ele é chpa quente, e fecha com a familia.
.","[""identidade""]",identidade,100.0,2,4,1
1061643,Ele é meu boy.,"[""identidade""]",identidade,100.0,2,2,1
106185,Essa mina é uma riqueza.,"[""aparencia""]",aparencia,50.0,2,1,1
106228,"Essa mina é uma riqueza
.","[""aparencia""]",aparencia,100.0,2,2,1
106268,Garota envolvente do sorriso atraente.,"[""aparencia""]",aparencia,50.0,2,1,1
106273,"Ela é funkeira, baladeira e não quer compromisso.","[""identidade""]",identidade,50.0,2,2,1
1062909,Ela é guerreira.,"[""identidade""]",identidade,100.0,2,2,1
1062910,Ela é uma deusa.,"[""aparencia""]",aparencia,100.0,2,2,1
1062911,Ela é mulher de verdade.,[],,0.0,2,0,0
1062917,Ela é discreta.,"[""comportamentos""]",comportamentos,100.0,2,4,1
1062929,Mesmo ele sendo irreal.,[],,0.0,2,0,0
106394,Alô galera..parei de zoar..agora sou um rapaz sério muito sério.,"[""identidade""]",identidade,50.0,2,3,1
1064149,"que ela é linda, ela é sua.","[""aparencia""]",aparencia,50.0,2,2,1
1064471,Ela pode ser bonita.,"[""aparencia""]",aparencia,100.0,2,2,1
1065556,EU SÓ SEI ELA É DEMAIS.,"[""identidade""]",identidade,50.0,2,1,1
1065558,"FAÇO ASSIM ""Ô"", ELE É DEMAIS.",[],,0.0,2,0,0
1065559,"ELE É DEMAIS, ELE É DEMAIS..","[""identidade""]",identidade,100.0,2,3,1
1065560,TIPO ASSIM ELE É DEMAIS.,"[""identidade""]",identidade,100.0,2,2,1
1065561,"ELA É DEMAIS, ELA É DEMAIS..","[""comportamentos""]",comportamentos,100.0,2,6,1
1065562,TIPO ASSIM ELA É DEMAIS.,[],,0.0,2,0,0
1065568,"ELE É DEMAIS, MUITO DEMAIS.","[""identidade""]",identidade,50.0,2,2,1
1065570,"ELA É DEMAIS, MUITO DEMAIS..","[""comportamentos""]",comportamentos,50.0,2,2,1
1065599,ELE É DEMAIS.,"[""identidade""]",identidade,100.0,2,2,1
1065601,ELA É DEMAIS.,"[""identidade""]",identidade,50.0,2,1,1
1066478,Menina é muito triste dizer.,"[""comportamentos""]",comportamentos,50.0,2,1,1
1066597,Que mulher decente fica na cozinha.,"[""papel_social""]",papel_social,50.0,2,1,1
1066622,Ele é um fantoche?.,"[""identidade""]",identidade,50.0,2,4,1
1067287,Ela gira.,"[""identidade""]",identidade,50.0,2,2,1
1067722,O menino franzino do morro.,"[""identidade""]",identidade,100.0,2,3,1
1067730,Sou menino humilde de um país.,"[""comportamentos""]",comportamentos,50.0,2,1,1
1067735,Por que o jogo ele é duro e vale um campeonato.,"[""comportamentos""]",comportamentos,50.0,2,2,1
1068527,O homem era feliz enquanto deus assim quis..,"[""comportamentos""]",comportamentos,50.0,2,2,1
1068758,Ela agora é importante.,"[""identidade""]",identidade,50.0,2,2,1
1069456,Eles estão doidinhos.,"[""comportamentos""]",comportamentos,50.0,2,1,1
107000,Gente inteligente e mulheres belas.,"[""identidade""]",identidade,50.0,2,3,1
1070571,Menina tão dengosa.,"[""comportamentos""]",comportamentos,100.0,2,2,1
1071367,Quando a menina travessa.,"[""comportamentos""]",comportamentos,50.0,2,1,1
1072494,Pra uma menina linda.,"[""aparencia""]",aparencia,100.0,2,2,1
1073150,"Menina bacana, me leva pro.","[""outros""]",outros,50.0,2,2,1
1073530,Menina é bacana me enrola na cama me namora.,"[""identidade""]",identidade,50.0,2,2,1
1073710,porque o homem quando está apaixonado.,"[""identidade""]",identidade,50.0,2,2,1
1073917,uma moça pantaneira.,"[""identidade""]",identidade,100.0,2,5,1
1074283,Vem ver o céu a deusa nua.,"[""aparencia""]",aparencia,50.0,2,2,1
1074399,Se ele fôr dançador.,"[""identidade""]",identidade,100.0,2,5,1
1076021,Sou um menino pobre.,"[""identidade""]",identidade,100.0,2,3,1
1076030,Com esses meninos pobres.,"[""identidade""]",identidade,50.0,2,1,1
1076035,Esta dor de um menino pobre.,"[""identidade""]",identidade,50.0,2,3,1
107605,"Garota impossível, do sorriso incrível.","[""identidade""]",identidade,100.0,2,3,1
107690,Hoje ela é a luz da minha vida.,"[""papel_social""]",papel_social,50.0,2,3,1
1077274,Esqueço tudo sou um menino feliz.,"[""identidade""]",identidade,50.0,2,1,1
1078084,Mulher sou a receita pra curar a tua dor.,"[""habilidades""]",habilidades,50.0,2,4,1
1079671,Ele não foi reconhecido.,"[""identidade""]",identidade,50.0,2,2,1
1080518,sou um homem apaixonado(apaixonado).,"[""identidade""]",identidade,100.0,2,4,1
1080616,Ele fica doente chorando de dor.,"[""identidade""]",identidade,50.0,2,2,1
1081374,Mulher grande ou pequena.,"[""identidade""]",identidade,100.0,2,4,1
1081483,Tenho falado à mulher companheira.,"[""identidade""]",identidade,50.0,2,1,1
108152,"Ele é muito maneiro, qualquer um pode mandar.","[""identidade""]",identidade,50.0,2,4,1
108207,"Já quer embrasar, ela fica maluca.","[""comportamentos""]",comportamentos,100.0,2,2,1
1082301,Ele é dono do mundo e eu sou filho do dono..,"[""identidade""]",identidade,50.0,2,1,1
108235,Olha que mina gostosa.,"[""aparencia""]",aparencia,100.0,2,2,1
108236,Que mulher maravilhosa.,"[""identidade""]",identidade,50.0,2,1,1
1083112,"Nunca vi mãe amorosa, dos filho não ter saudade.","[""identidade""]",identidade,100.0,2,5,1
1083969,"é que ninguem tem nadahaver com meus problemas,,até de mim eu consegui me esconder,,,mais esse homem forte tão determinado,,que pode tudo não aceita se entregar.","[""identidade""]",identidade,50.0,2,3,1
1084160,um homem sofredor.,"[""identidade""]",identidade,100.0,2,3,1
1084181,"|Eu estou perdido, nem sei que dia é hoje da semana.","[""identidade""]",identidade,50.0,2,2,1
1084426,com ele era dividido.,[],,0.0,2,0,0
1084455,o menino estava vivo.,"[""comportamentos""]",comportamentos,100.0,2,4,1
1084721,Não entendo você com seu jeito de ser de menina manhosa.,"[""comportamentos""]",comportamentos,100.0,2,3,1
1085286,Se ela não fosse casada.,"[""papel_social""]",papel_social,100.0,2,5,1
1085421,Pode maltratar você já não é mais mulher sentimental.,"[""comportamentos""]",comportamentos,50.0,2,2,1
1085895,Que ela já foi esquecida.,"[""outros""]",outros,100.0,2,3,1
1086499,E pra ele sarar urgente vai ter que amar de novo.,"[""comportamentos""]",comportamentos,50.0,2,1,1
1087212,eu não tenho culpa se elas tem sexto sentido.,"[""habilidades""]",habilidades,100.0,2,3,1
1087402,Minha menina e o rapaz faceiro ouve esse som sem.,"[""comportamentos""]",comportamentos,100.0,2,4,1
1087601,você é do tipo mulher fatal...,"[""aparencia""]",aparencia,50.0,2,2,1
1088278,UMA MOÇA MUITO LINDA.,"[""aparencia""]",aparencia,100.0,2,2,1
1088541,ELA SAIU SEM DIZER NADA.,[],,0.0,2,0,0
1088547,ELA É DONA DE MIM.,"[""identidade""]",identidade,100.0,2,2,1
1088552,SE ELA NÃO APARECER.,"[""outros""]",outros,100.0,2,2,1
1089350,Senhora é a luz do meu caminho.,"[""valores""]",valores,50.0,2,2,1
1089372,Ele é dono do mundo e eu sou filho do dono.,"[""identidade""]",identidade,50.0,2,2,1
1089528,Conhecido homem bravo.,"[""identidade""]",identidade,50.0,2,1,1
1089672,De moça namoradeira.,"[""comportamentos""]",comportamentos,100.0,2,3,1
1089993,É uma mulher envolvente.,"[""identidade""]",identidade,50.0,2,1,1
1090408,mulher feia fica linda veja o que a cachaça faz.,"[""aparencia""]",aparencia,50.0,2,1,1
109066,Essa é as mina zica da balada.,"[""comportamentos""]",comportamentos,100.0,2,3,1
1090751,Quem me vê com mulher feia pode crer que eu to doente.,"[""aparencia""]",aparencia,50.0,2,1,1
1090896,"Ele é seu amigo, seu namorado.","[""identidade""]",identidade,50.0,2,1,1
1091389,Menina maluquinha.,"[""identidade""]",identidade,50.0,2,2,1
1091929,Homem é o animal da terra que mais manda.,[],,0.0,2,0,0
1091998,a moça veio ligeiro.,"[""outros""]",outros,50.0,2,2,1
1092424,"Domingo lá vem ela caminhando sempre bela, me consolar.","[""aparencia""]",aparencia,50.0,2,2,1
1092615,Faz algum tempo que ele anda descontente.,"[""identidade""]",identidade,50.0,2,2,1
109280,"Nois vai raja, bota eles pra volta

.","[""comportamentos""]",comportamentos,50.0,2,2,1
1092944,torcendo pra que ela mesma descubra no meu jeito de olhar.,"[""comportamentos""]",comportamentos,100.0,2,3,1
1092947,"dizer pra ela não é culpa minha, mas é minha solidão.","[""identidade"", ""comportamentos""]",identidade,100.0,2,4,2
1093123,Já está preparada a mulher mais amada.,"[""identidade""]",identidade,50.0,2,4,1
1093130,Na hora do amor você é mulher amante menina.,"[""identidade""]",identidade,50.0,2,4,1
109326,"Nois vai raja, bota eles pra volta.","[""outros""]",outros,50.0,2,2,1
1094767,"Deus me livre desse cara, ele é nó cego.","[""outros""]",outros,50.0,2,2,1
109579,Só tem mulher solteira.,[],,0.0,2,0,0
1096495,Nunca vi mãe amorosa.,[],,0.0,2,0,0
1097619,"Eu entrei numa roubada, ela tava melhorzinha quando eu peguei.","[""outros""]",outros,50.0,2,4,1
1098018,Viola eu me lembro ainda ela estava tão linda naquela janela.,"[""aparencia""]",aparencia,100.0,2,2,1
109823,"Que minha meta na favela é só pegar mina perversa!
.","[""papel_social""]",papel_social,100.0,2,5,1
109838,"Que minha meta na favela é só pegar mina perversa
.","[""comportamentos""]",comportamentos,100.0,2,4,1
1098716,"Mulher bonita e viola,.","[""aparencia""]",aparencia,100.0,2,3,1
109887,Solo és mãe gentil.,"[""outros""]",outros,100.0,2,2,1
11004,Mas não tenha pena se ele é matador.,"[""valores""]",valores,50.0,2,2,1
1100466,Seria um homem muito feliz.,"[""identidade""]",identidade,50.0,2,1,1
1100880,Ou serei o homem mais triste da terra sem você aqui.,"[""comportamentos""]",comportamentos,100.0,2,3,1
1101436,"Eu chego junto, ó menina doida, como é que eu fico?.","[""habilidades""]",habilidades,50.0,2,1,1
1101657,Ela só quer ser feliz.,"[""habilidades""]",habilidades,50.0,2,2,1
1101811,Ele está aqui comigo.,"[""identidade""]",identidade,50.0,2,2,1
1102111,Minha mulher faceira.,"[""identidade"", ""habilidades"", ""comportamentos""]",identidade,100.0,2,6,3
1102304,Em homenagem a menina mais amada.,"[""identidade""]",identidade,50.0,2,5,1
1102640,"Tente escutar o vento, ele traz bem lento, este canto meu.",[],,0.0,2,0,0
1102721,Se na verdade não andiantou nada ser mulher direita.,"[""identidade""]",identidade,100.0,2,4,1
1102853,Com seu jeito de mulher amante.,"[""identidade""]",identidade,50.0,2,2,1
1104341,"com tanta mulher bonita,.","[""aparencia""]",aparencia,50.0,2,1,1
1104680,e dar pra ele a mulher mais perfeita.,"[""identidade""]",identidade,100.0,2,4,1
1105185,Surgiu um moço grã-fino no meio da multidão.,"[""identidade""]",identidade,100.0,2,4,1
1105979,homem maduro mas na sua frente.,"[""identidade""]",identidade,100.0,2,3,1
1105984,sou homem maduro mais na sua frente.,"[""identidade""]",identidade,100.0,2,3,1
