frase_id,annotation_list,total_annotations,annotators,identidade,aparencia,papel_social,habilidades,valores,comportamentos,outros,majority_vote,agreement_rate,identidade_share,aparencia_share,papel_social_share,habilidades_share,valores_share,comportamentos_share,outros_share,multi_vote,n_labels_multi,frase
1002718,"[['habilidades'], ['identidade']]",2,2,1,0,0,1,0,0,0,habilidades,50.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,['habilidades'],1,José é fraco.
1002720,"[[], ['identidade', 'aparencia', 'habilidades']]",3,2,1,1,0,1,0,0,0,identidade,50.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,['identidade'],1,João é forte.
100287,"[['outros'], ['outros']]",2,2,0,0,0,0,0,0,2,outros,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['outros'],1,Dennis tá fácil.
1002923,"[['identidade', 'habilidades'], ['outros']]",3,2,1,0,0,1,0,0,1,identidade,50.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,['identidade'],1,Cabral foi navegante da.
1002981,"[[], ['identidade']]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Ela é uma jararaca meu.
1003802,"[['comportamentos'], ['comportamentos']]",2,2,0,0,0,0,0,2,0,comportamentos,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['comportamentos'],1,Eles ficaram ofendidos com a afirmação.
1005406,"[[], ['identidade', 'comportamentos']]",2,2,1,0,0,0,0,1,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,['identidade'],1,O menino voltou voltou mais velho e chorou.
1005785,"[['papel_social'], ['aparencia', 'valores', 'comportamentos']]",4,2,0,1,1,0,1,1,0,papel_social,50.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,['papel_social'],1,Homem é homem e mulher.
1005805,"[['identidade'], ['identidade']]",2,2,2,0,0,0,0,0,0,identidade,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Mulher é cadeira.
1005812,"[['outros'], []]",1,2,0,0,0,0,0,0,1,outros,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,['outros'],1,Mulher é sapiência.
1005814,"[['papel_social', 'comportamentos'], ['identidade', 'papel_social', 'valores']]",5,2,1,0,2,0,1,1,0,papel_social,100.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,['papel_social'],1,O homem não é homem.
1005815,"[['identidade', 'papel_social'], ['identidade']]",3,2,2,0,1,0,0,0,0,identidade,100.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,['identidade'],1,A mulher não é mulher.
1005819,"[['identidade', 'papel_social'], ['identidade']]",3,2,2,0,1,0,0,0,0,identidade,100.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,['identidade'],1,O homem é homem.
1005820,"[[], []]",0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0,A mulher é mulher.
1005938,"[['identidade'], ['identidade', 'valores']]",3,2,2,0,0,0,1,0,0,identidade,100.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,['identidade'],1,"Sou homem bom, sei que sou.."
1005939,"[[], ['identidade']]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,"Sou homem bom, sei que sou."
1006051,"[['identidade', 'aparencia'], ['aparencia']]",3,2,1,2,0,0,0,0,0,aparencia,100.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,['aparencia'],1,Ela é tão bonita.
1006052,"[[], []]",0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0,Ela tão bonita que na certa.
1006172,"[['identidade', 'habilidades', 'valores', 'comportamentos'], ['comportamentos']]",5,2,1,0,0,1,1,2,0,comportamentos,100.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,['comportamentos'],1,Fez-me um homem destemido.
1006490,"[['identidade', 'comportamentos'], ['identidade', 'papel_social', 'habilidades', 'valores', 'comportamentos']]",7,2,2,0,1,1,1,2,0,identidade,100.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,"['identidade', 'comportamentos']",2,"Menino bom, menino meu, meu rei."
1007149,"[['habilidades'], ['identidade', 'aparencia', 'habilidades']]",4,2,1,1,0,2,0,0,0,habilidades,100.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,['habilidades'],1,Ele é feio que é danado mas ele é bom caçador.
1007213,"[['identidade', 'aparencia'], ['aparencia']]",3,2,1,2,0,0,0,0,0,aparencia,100.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,['aparencia'],1,Meninas iguais.
1008705,"[[], ['valores']]",1,2,0,0,0,0,1,0,0,valores,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,['valores'],1,Mas prá eles é careta.
1009151,"[[], ['outros']]",1,2,0,0,0,0,0,0,1,outros,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,['outros'],1,"Minha vida toda, ela inteira,."
1009292,"[['identidade'], ['identidade']]",2,2,2,0,0,0,0,0,0,identidade,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Das cantigas de homens normais.
1009296,"[['comportamentos'], []]",1,2,0,0,0,0,0,1,0,comportamentos,50.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,['comportamentos'],1,Mulheres respondonas.
1009536,"[['identidade'], ['aparencia', 'comportamentos']]",3,2,1,1,0,0,0,1,0,identidade,50.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,['identidade'],1,"Ele é o bom, é o bom, é o bom, é o bom, é o boooom,."
1009537,"[['identidade'], ['identidade']]",2,2,2,0,0,0,0,0,0,identidade,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,"Ele é o bom, é o bom, é o bom, é o bom, é o...."
1009604,"[['comportamentos', 'outros'], ['outros']]",3,2,0,0,0,0,0,1,2,outros,100.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,['outros'],1,Mamãe aqui tá mais escuro.
1009691,"[['comportamentos'], ['identidade', 'comportamentos']]",3,2,1,0,0,0,0,2,0,comportamentos,100.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,['comportamentos'],1,Vem cá mulher dexa de manha.
1010019,"[[], ['comportamentos']]",1,2,0,0,0,0,0,1,0,comportamentos,50.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,['comportamentos'],1,Ele é cordial com os peixes.
1010397,"[[], ['identidade', 'comportamentos']]",2,2,1,0,0,0,0,1,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,['identidade'],1,E até as mulheres ditas escravas.
1010400,"[[], []]",0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0,Da mãe serpente.
1010615,"[['identidade'], ['identidade', 'habilidades', 'valores']]",4,2,2,0,0,1,1,0,0,identidade,100.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,['identidade'],1,Ele é o dia da vida.
1011174,"[['outros'], ['aparencia', 'comportamentos']]",3,2,0,1,0,0,0,1,1,outros,50.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,['outros'],1,"A mulher estridente,."
1011196,"[[], ['papel_social']]",1,2,0,0,1,0,0,0,0,papel_social,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,['papel_social'],1,Um rei zulu?.
1011452,"[[], []]",0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0,Revés é bandido.
1012006,"[['aparencia'], ['aparencia']]",2,2,0,2,0,0,0,0,0,aparencia,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,['aparencia'],1,"Oh, menina linda."
1012235,"[[], ['identidade', 'aparencia', 'habilidades']]",3,2,1,1,0,1,0,0,0,identidade,50.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,['identidade'],1,Pra que cassaste com um homem tão sisudo.
1012444,"[[], []]",0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0,Lena é facilitadora leal.
1013476,"[[], ['identidade']]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Deus porque ele é brasileiro.
1013929,"[['outros'], ['comportamentos']]",2,2,0,0,0,0,0,1,1,outros,50.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,['outros'],1,E girar ele mais rápido.
1013971,"[['identidade', 'valores', 'comportamentos'], ['identidade']]",4,2,2,0,0,0,1,1,0,identidade,100.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,['identidade'],1,E ele é acusado de.
1014353,"[[], []]",0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0,Menina flor eu já não sei o que fazer.
1014598,"[['valores'], ['comportamentos']]",2,2,0,0,0,0,1,1,0,valores,50.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,['valores'],1,Um homem é responsável por tudo que fala e canta.
1014626,"[['identidade', 'papel_social'], []]",2,2,1,0,1,0,0,0,0,identidade,50.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,['identidade'],1,eles vão ser patrão.
1014643,"[[], ['comportamentos']]",1,2,0,0,0,0,0,1,0,comportamentos,50.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,['comportamentos'],1,Por carro e mulher gostosa pra dizer que é fodão.
1014754,"[['outros'], ['identidade', 'outros']]",3,2,1,0,0,0,0,0,2,outros,100.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,['outros'],1,E que nunca mais eu vou abrir.
1015978,"[['identidade', 'outros'], []]",2,2,1,0,0,0,0,0,1,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,['identidade'],1,Filha única do meu amigo.
101650,"[['identidade'], ['comportamentos']]",2,2,1,0,0,0,0,1,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,['identidade'],1,Porque ela é impossível.
101654,"[['identidade', 'aparencia'], ['valores', 'comportamentos']]",4,2,1,1,0,0,1,1,0,identidade,50.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,['identidade'],1,Ela é impossível.
1017211,"[['identidade'], []]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Ela é mais sentimental que eu.
1017407,"[['aparencia'], []]",1,2,0,1,0,0,0,0,0,aparencia,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,['aparencia'],1,Vem moça bonita.
1018058,"[['identidade', 'comportamentos'], ['identidade', 'aparencia', 'habilidades', 'comportamentos']]",6,2,2,1,0,1,0,2,0,identidade,100.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,"['identidade', 'comportamentos']",2,Com essa rosa no cabelo e esse andar de moça prosa.
101863,"[['comportamentos'], ['comportamentos']]",2,2,0,0,0,0,0,2,0,comportamentos,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['comportamentos'],1,Ela fico descontrolada.
102059,"[[], ['identidade']]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Lembro legal que nois era pivete.
1021084,"[['aparencia'], ['comportamentos']]",2,2,0,1,0,0,0,1,0,aparencia,50.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,['aparencia'],1,Que não gostava de meninos tão largados.
1021221,"[['identidade', 'comportamentos'], ['identidade', 'valores']]",4,2,2,0,0,0,1,1,0,identidade,100.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,['identidade'],1,"Essa menina é sinistra, rapá."
1021278,"[[], []]",0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0,A menina aflita.
1021913,"[[], ['identidade']]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Ataulfo é nobre-lobo.
1021915,"[[], []]",0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0,Arnulfo é águia e lobo.
1021918,"[[], ['identidade', 'habilidades']]",2,2,1,0,0,1,0,0,0,identidade,50.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,['identidade'],1,Leonardo é leão forte.
1021920,"[[], ['outros']]",1,2,0,0,0,0,0,0,1,outros,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,['outros'],1,Bernardo é urso forte.
1021929,"[['identidade'], ['identidade', 'papel_social']]",3,2,2,0,1,0,0,0,0,identidade,100.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,['identidade'],1,Bárbara é estrangeira.
102266,"[[], []]",0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0,Ela é uma gracinha.
102277,"[[], ['comportamentos']]",1,2,0,0,0,0,0,1,0,comportamentos,50.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,['comportamentos'],1,Elas estão descontroladas.
102293,"[['identidade', 'comportamentos'], ['comportamentos']]",3,2,1,0,0,0,0,2,0,comportamentos,100.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,['comportamentos'],1,vai...elas estão descontroladas.
102294,"[['comportamentos'], ['comportamentos']]",2,2,0,0,0,0,0,2,0,comportamentos,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['comportamentos'],1,"vai...vai...elas estão descontroladas


."
102314,"[['comportamentos'], ['habilidades']]",2,2,0,0,0,1,0,1,0,comportamentos,50.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,['comportamentos'],1,"vai...vai...elas estão descontroladas
."
102473,"[['comportamentos'], []]",1,2,0,0,0,0,0,1,0,comportamentos,50.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,['comportamentos'],1,Mais enjoado que mulher grávida.
102558,"[['comportamentos'], []]",1,2,0,0,0,0,0,1,0,comportamentos,50.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,['comportamentos'],1,O desejo dessa mina é sua humilhação.
1026250,"[['identidade'], []]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Seu pai é um homem indomável.
1026251,"[[], ['identidade']]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Um provável homem doce.
1026316,"[['comportamentos'], ['outros']]",2,2,0,0,0,0,0,1,1,comportamentos,50.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,['comportamentos'],1,No sofá que por ele não foi feito.
102649,"[['aparencia'], ['identidade', 'papel_social', 'habilidades', 'comportamentos']]",5,2,1,1,1,1,0,1,0,aparencia,50.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,['aparencia'],1,"Não é atoa que eles fala: as mina é foda
."
102667,"[[], ['papel_social', 'comportamentos']]",2,2,0,0,1,0,0,1,0,papel_social,50.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,['papel_social'],1,Não é atoa que eles fala as mina é foda.
1026687,"[['identidade'], ['identidade']]",2,2,2,0,0,0,0,0,0,identidade,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Ela era a atmosfera.
1026970,"[['aparencia'], ['outros']]",2,2,0,1,0,0,0,0,1,aparencia,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,['aparencia'],1,Se fosse uma menina ruiva.
1026971,"[[], ['identidade', 'papel_social']]",2,2,1,0,1,0,0,0,0,identidade,50.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,['identidade'],1,Chamaria nossa filha ruiva.
1027084,"[['identidade'], ['identidade', 'habilidades']]",3,2,2,0,0,1,0,0,0,identidade,100.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,['identidade'],1,Oh musa inspiradora.
1027092,"[['valores'], ['identidade', 'aparencia']]",3,2,1,1,0,0,1,0,0,valores,50.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,['valores'],1,Pra musa inspiradora.
102779,"[['identidade', 'valores'], []]",2,2,1,0,0,0,1,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,['identidade'],1,"Minha mente, ela é ambiciosa, sou vitorioso, você pode crer."
1027839,"[['identidade', 'habilidades', 'comportamentos'], ['identidade', 'papel_social']]",5,2,2,0,1,1,0,1,0,identidade,100.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,['identidade'],1,Um dia ele chegou tão diferente do seu jeito de sempre.
102864,"[['identidade'], ['identidade', 'comportamentos']]",3,2,2,0,0,0,0,1,0,identidade,100.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,['identidade'],1,"É que eles são bandido ruim, e ninguém trabalha."
1028864,"[['comportamentos'], ['comportamentos']]",2,2,0,0,0,0,0,2,0,comportamentos,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['comportamentos'],1,Que eles ficam melhores.
1028869,"[['identidade', 'valores'], ['identidade', 'habilidades']]",4,2,2,0,0,1,1,0,0,identidade,100.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,['identidade'],1,Deus que homem forte.
1029249,"[[], ['identidade']]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,A morte que nos toma a mãe insubstituível de repente.
1029270,"[['valores'], ['outros']]",2,2,0,0,0,0,1,0,1,valores,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,['valores'],1,"Não é por isso que ela não possa estar feliz,."
1030048,"[['aparencia'], ['aparencia']]",2,2,0,2,0,0,0,0,0,aparencia,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,['aparencia'],1,"Não há idéia que alcance ou seja parecida com a imagem da menina esguia, a bolsa a tiracolo."
103019,"[['identidade'], []]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,"nois é quebrada, nois é zul, norte e oeste,."
1030501,"[['identidade', 'habilidades', 'valores', 'comportamentos'], []]",4,2,1,0,0,1,1,1,0,identidade,50.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,['identidade'],1,"é lindo vê-lo bailando ele é tão pierrô, pierrô."
1030668,"[['identidade'], []]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,"Maria é moça nova,."
1031181,"[['identidade', 'aparencia'], ['aparencia', 'comportamentos']]",4,2,1,2,0,0,0,1,0,aparencia,100.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,['aparencia'],1,Amo tanto e de tanto amar acho que ela é bonita..
103160,"[['identidade', 'papel_social', 'comportamentos'], ['identidade']]",4,2,2,0,1,0,0,1,0,identidade,100.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,['identidade'],1,"Se eu já fui escuridão, hoje ela é a luz da minha vida."
1031967,"[['identidade', 'habilidades'], ['identidade']]",3,2,2,0,0,1,0,0,0,identidade,100.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,['identidade'],1,Mas ele está melhor.
1033169,"[[], ['identidade', 'habilidades', 'valores', 'comportamentos']]",4,2,1,0,0,1,1,1,0,identidade,50.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,['identidade'],1,Um homem melhor.
1033362,"[['identidade', 'comportamentos'], []]",2,2,1,0,0,0,0,1,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,['identidade'],1,Eles estavam livres.
1033407,"[['comportamentos'], ['outros']]",2,2,0,0,0,0,0,1,1,comportamentos,50.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,['comportamentos'],1,Percebi que o lencinho da moça estava molhado.
1033410,"[['aparencia'], ['aparencia', 'valores']]",3,2,0,2,0,0,1,0,0,aparencia,100.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,['aparencia'],1,Em minha vida inteira jamais moça tão linda eu vira.
1033421,"[['aparencia', 'outros'], ['identidade', 'comportamentos']]",4,2,1,1,0,0,0,1,1,aparencia,50.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,['aparencia'],1,"""Ela é minha irmã e está muito doente"" ele foi logo dizendo."
1034056,"[[], ['identidade', 'papel_social']]",2,2,1,0,1,0,0,0,0,identidade,50.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,['identidade'],1,Será sempre a mulher como é minha mãe.
1034471,"[[], ['identidade']]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Brazil és diferente.
1034518,"[['identidade', 'outros'], ['identidade', 'outros']]",4,2,2,0,0,0,0,0,2,identidade,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"['identidade', 'outros']",2,"Ela é penetra, essa miquinha amestrada."
1035176,"[[], ['habilidades']]",1,2,0,0,0,1,0,0,0,habilidades,50.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,['habilidades'],1,Elas tecem longos bordados.
1035298,"[['aparencia'], ['identidade', 'aparencia']]",3,2,1,2,0,0,0,0,0,aparencia,100.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,['aparencia'],1,Mulher barriguda.
1035344,"[['identidade'], ['outros']]",2,2,1,0,0,0,0,0,1,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,['identidade'],1,"Que homem foi feito direito, do jeito que é feito o."
1035371,"[[], ['outros']]",1,2,0,0,0,0,0,0,1,outros,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,['outros'],1,Será que ela não fica afoita pra dançar na chama da batalha?.
1035504,"[[], ['papel_social']]",1,2,0,0,1,0,0,0,0,papel_social,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,['papel_social'],1,"Eu sou tio, ela é tia."
1035775,"[['identidade', 'aparencia', 'comportamentos'], ['aparencia']]",4,2,1,2,0,0,0,1,0,aparencia,100.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,['aparencia'],1,"Maria é muito prosa, é mentirosa, mas é gostosa demais."
1036004,"[['identidade'], ['identidade', 'papel_social']]",3,2,2,0,1,0,0,0,0,identidade,100.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,['identidade'],1,Johnny é executivo de uma multilegal.
103615,"[[], ['identidade', 'aparencia']]",2,2,1,1,0,0,0,0,0,identidade,50.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Minha mansão sempre estará lotada de mulheres belas.
1036612,"[[], ['identidade', 'aparencia', 'comportamentos']]",3,2,1,1,0,0,0,1,0,identidade,50.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,['identidade'],1,"A lua poderosa, mulher muito fogosa."
103708,"[['identidade', 'aparencia'], ['aparencia']]",3,2,1,2,0,0,0,0,0,aparencia,100.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,['aparencia'],1,"Barro ou mulher bonita,  tá tranquilo, vamo que vamo."
103729,"[['outros'], []]",1,2,0,0,0,0,0,0,1,outros,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,['outros'],1,Quer deixar ele feliz?
1037689,"[[], ['habilidades']]",1,2,0,0,0,1,0,0,0,habilidades,50.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,['habilidades'],1,A moça é capaz de se aborrecer.
1037690,"[[], []]",0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0,Por trás de um homem triste.
1037691,"[['comportamentos'], ['valores', 'comportamentos']]",3,2,0,0,0,0,1,2,0,comportamentos,100.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,['comportamentos'],1,Há sempre uma mulher feliz.
1037693,"[['comportamentos'], ['habilidades']]",2,2,0,0,0,1,0,1,0,comportamentos,50.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,['comportamentos'],1,Mil homens sempre tão gentis.
1038473,"[[], []]",0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0,Ele é filho do verde.
1038474,"[['identidade', 'outros'], ['identidade']]",3,2,2,0,0,0,0,0,1,identidade,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,['identidade'],1,Ele é filho da mata.
1038502,"[['papel_social'], ['valores']]",2,2,0,0,1,0,1,0,0,papel_social,50.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,['papel_social'],1,Ele é filho do rei.
