frase_id,sim,nao,nao_sei,not_annotated,total_annotations,valid_annotations,frase,tem_padrao,real_class,majority_annotation,agreement_rate
16705,1,0,0,3,4,1,Jackie uma menina tão bonita que enjoa.,Female,sim,sim,100.0
16927,3,0,0,0,3,3,Menina é gostoso demais te amar.,Female,sim,sim,100.0
17578,2,1,0,1,4,3,"Ela era princesa eu era o plebeu, Quem é mais foda que eu?",Female,sim,sim,66.66666666666667
17591,3,0,0,1,4,3,"Em fração de segundos meu castelo caiu, A mais bonita da escola rainha passista, Se transformou numa vaca nazista.",Female,sim,sim,100.0
17603,3,0,0,0,3,3,"Só se liga nessa, Que mina cabulosa olha só que conversa.",Female,sim,sim,100.0
17646,2,0,0,2,4,2,"Ele é safado, Fugiu do.",Male,sim,sim,100.0
17690,2,0,0,1,3,2,"Ela está suada, pronta pra se derreter!",Female,sim,sim,100.0
17691,3,0,0,0,3,3,"Ela é puro êxtase, êxtase.",Female,sim,sim,100.0
17701,2,0,0,1,3,2,"Vontade de dançar até o amanhecer, Ela está suada, pronta pra se derreter!.",Female,sim,sim,100.0
17709,3,0,0,1,4,3,"Ninguém explica, ela é bonita.",Female,sim,sim,100.0
17779,3,0,0,0,3,3,Deus que ele é justo.,Male,sim,sim,100.0
17868,2,0,0,2,4,2,"Ela tem força, ela tem sensibilidade, ela é guerreira.",Female,sim,sim,100.0
17869,2,0,0,1,3,2,"Ela é uma deusa, ela é mulher de verdade.",Female,sim,sim,100.0
19223,2,0,0,1,3,2,"Fiquei sem chão [Refrão 2x] Menino bonito, menino bonito, ai ai menino bonito, menino bonito ai.",Male,sim,sim,100.0
19229,1,0,0,2,3,1,"ô [Refrão 4x] Menino bonito, menino bonito, ai ai menino bonito, menino bonito ai.",Male,sim,sim,100.0
20137,2,0,0,2,4,2,Ela é política aplicada e conversas banais.,Female,sim,sim,100.0
20138,2,1,0,1,4,3,Se ela tiver muito afim seja perspicaz.,Female,sim,sim,66.66666666666667
20739,3,0,0,1,4,3,E ela é tão linda.,Female,sim,sim,100.0
21106,2,0,0,1,3,2,"Rasga minha roupa, ela é bipolar.",Female,sim,sim,100.0
21712,3,0,0,1,4,3,Eles fica puto que nóis tá lucrando muito.,Male,sim,sim,100.0
22006,2,0,0,2,4,2,Que uma mulher foda virou sua ex.,Female,sim,sim,100.0
22120,3,1,0,0,4,4,"E, ó que ela foi covarde.",Female,sim,sim,75.0
22994,2,0,0,1,3,2,Que ele é o cara errado.,Male,sim,sim,100.0
23266,1,0,0,2,3,1,"Mina linda, mas que obra-prima.",Female,sim,sim,100.0
23334,2,0,0,1,3,2,Gomes) É ele mesmo.,Male,sim,sim,100.0
23610,2,1,0,0,3,3,Hoje eu vou ser seu duble de marido yeah.,Male,sim,sim,66.66666666666667
23666,2,1,0,0,3,3,Kadu hoje não tá mais pobre.,Male,sim,sim,66.66666666666667
23846,2,0,0,1,3,2,Que elas tão cheia de malicia.,Female,sim,sim,100.0
24215,2,1,0,1,4,3,"Só porque ele é grande ele pensa que é dois (Quem, quem?) Meu pau.",Male,sim,sim,66.66666666666667
24216,1,0,0,2,3,1,"Só porque ele é grande ele pensa que é dois (Quem, Digu?) Meu pau.",Male,sim,sim,100.0
24512,2,0,0,1,3,2,"Ela é uma flor, mas ama fumar planta (Hahaha) Transa que transa com a amiga piranha.",Female,sim,sim,100.0
24518,2,1,0,0,3,3,Tudo conforme os plano (Sempre) Minha filha rica e eu sou.,Female,sim,sim,66.66666666666667
24899,1,0,0,2,3,1,"É tipo isca pras piranha, elas fica apaixonada.",Female,sim,sim,100.0
25004,3,0,0,1,4,3,Ela é muito gostosa com essa cara de atriz.,Female,sim,sim,100.0
25115,2,0,1,1,4,3,Pra comer essas mina linda que cobra 10k.,Female,sim,sim,66.66666666666667
25159,2,1,0,1,4,3,"Que eu gosto quando quica, quica, quica (ele mesmo) (DJ João.",Male,sim,sim,66.66666666666667
25354,2,1,0,1,4,3,"Dindin não é problema, nas puta taca.",Male,sim,sim,66.66666666666667
25474,3,0,0,1,4,3,"Quarenta graus, nós pesado, ela é mídia.",Female,sim,sim,100.0
25626,4,0,0,0,4,4,"MD, o migo vira vida, a bebida [MC Daniel] Uma mina gostosa incomoda muita gente.",Female,sim,sim,100.0
26308,2,0,0,1,3,2,"Ele era pagodeiro, maloqueiro.",Male,sim,sim,100.0
27417,3,0,0,1,4,3,"Quando chega no baile, ela é atração.",Female,sim,sim,100.0
27420,1,0,0,3,4,1,Ela é terrível!,Female,sim,sim,100.0
27422,2,0,0,1,3,2,"Ela é top, capa de revista.",Female,sim,sim,100.0
27435,2,0,0,2,4,2,"OnlyFans) Ela é malandra, é safadinha.",Female,sim,sim,100.0
27442,3,0,0,0,3,3,"Ela é malandra, é safadinha.",Female,sim,sim,100.0
29099,2,1,0,1,4,3,"Tem mulher solteira, vai, vai.",Female,sim,sim,66.66666666666667
29638,2,0,0,1,3,2,Ela rebola gostoso.,Female,sim,sim,100.0
29653,3,1,0,0,4,4,"Ela tá solteira na pista, voltou pro paredão.",Female,sim,sim,75.0
29656,2,0,0,2,4,2,Mas ela prefere ficar sozinha.,Female,sim,sim,100.0
30660,2,0,0,2,4,2,"Que mina cavala, vou precisar de uma sela.",Female,sim,sim,100.0
30893,3,0,0,0,3,3,Deus que ele é justo!,Male,sim,sim,100.0
31017,1,0,0,3,4,1,Bruxo só tem menino selvagem.,Male,sim,sim,100.0
31814,1,0,0,3,4,1,"Ela tá solteira, mas não tá carente.",Female,sim,sim,100.0
31884,2,1,0,1,4,3,"Não nasceu pra ser mulher solteira nasceu pra mim, pra viver coladim.",Female,sim,sim,66.66666666666667
32205,4,0,0,0,4,4,Que os maloqueiro tá deixando eles forte.,Male,sim,sim,100.0
32675,2,0,0,2,4,2,"Mina doidona taca fogo, passa a goma, compra tudo.",Female,sim,sim,100.0
32825,2,1,0,1,4,3,Matheus tá patrão e um salve pro.,Male,sim,sim,66.66666666666667
32828,2,0,0,1,3,2,Porque aqui só tem menino bom.,Male,sim,sim,100.0
32862,3,0,0,1,4,3,"Oh, você joga sujo, mina viciante, o meu ponto fraco.",Female,sim,sim,100.0
33074,2,0,0,2,4,2,"Ai, ah, ela faz suruba, mas ela não é puta.",Female,sim,sim,100.0
33075,2,0,0,1,3,2,"Ela é solteira, yah-yah-yah.",Female,sim,sim,100.0
33077,2,1,0,1,4,3,"Ahn, ahn, ela faz suruba, mas ela não é puta.",Female,sim,sim,66.66666666666667
33141,2,0,0,1,3,2,"Aí, que ela é putinha da web, faz um cash vendendo conteúdo.",Female,sim,sim,100.0
33260,2,0,0,1,3,2,"E ela vem tão glamorosa, vestida de rosa.",Female,sim,sim,100.0
33281,1,0,0,3,4,1,Várias opção e hoje ela foi a escolhida.,Female,sim,sim,100.0
33399,1,0,0,2,3,1,Mais uma vez te vejo tirando a roupa e pessoalmente ela é melhor que na foto.,Female,sim,sim,100.0
33771,2,0,1,1,4,3,"Com dezenove tô bagunçando, eles tonto.",Male,sim,sim,66.66666666666667
33853,1,0,0,2,3,1,Eu sei que tu e ela é rica.,Female,sim,sim,100.0
34684,2,0,0,2,4,2,"Toda cabulosa, indecente o tanto que ela é gostosa.",Female,sim,sim,100.0
34983,2,0,0,2,4,2,A As mina aqui são braba.,Female,sim,sim,100.0
35893,1,0,0,3,4,1,Preto favelado e a menina patricinha.,Female,sim,sim,100.0
36122,3,0,0,1,4,3,"Licor 43 espanca, ela fica louca, safadinha.",Female,sim,sim,100.0
36171,3,0,0,0,3,3,"Vê só pela passada ela sabe, o menino é caro.",Male,sim,sim,100.0
36188,3,0,0,1,4,3,"Eu vi lá, eles não querem ver preto vencedor.",Male,sim,sim,100.0
36313,2,0,1,0,3,3,"Ostentação, deixa ela louca, palmeia.",Female,sim,sim,66.66666666666667
36699,2,0,0,2,4,2,Pra deixa a princesa bruxa.,Female,sim,sim,100.0
36807,3,0,0,1,4,3,"Ela é novinha, mas não inocente.",Female,sim,sim,100.0
37206,2,0,0,1,3,2,"Caralho, os paparazzi tirando foto, eles é foda, mano.",Male,sim,sim,100.0
37408,3,0,0,1,4,3,Ela era linda e tava carente.,Female,sim,sim,100.0
37418,1,0,0,3,4,1,É que eu sou homem só vivo errando.,Male,sim,sim,100.0
37526,2,1,0,0,3,3,E o som já tá no alto (o som já tá no alto) Vizinho já tá puto.,Male,sim,sim,66.66666666666667
37565,2,1,0,1,4,3,"Ela tem muito bom gosto (Okay) Mas eu quero ver mais de perto (Ahn) Baile sem você bebê, p'ra mim parece um deserto.",Female,sim,sim,66.66666666666667
37758,2,0,1,0,3,3,"Quando você vier, por favor, não coma pouco (yeah) Noites que ela fica louca (uh) Nem sempre tá crazy (uh) (Ela age) como se fosse poucas (poucas, ó) Mas isso só às vezes (só às vezes) Uma dose atrás da outra (ou) Chapa e nem percebe (cê) Só se acaba em motel (mo) Antes que acabe, é check (check) (Uh) minha neblina é aonde acontece (yeah) (Uh) (ahn) igual minha carteira, minha blunt tá verde (yeah) (Uh) (huh) só ando engordando, tô comendo cash (yeah) (Uh) não preciso das que se envolvem com pac (ayy) Goles e goles e goles e goles, yeah.",Female,sim,sim,66.66666666666667
38087,2,0,0,2,4,2,"Olhando o céu, ela é cruel.",Female,sim,sim,100.0
38390,1,0,0,2,3,1,Ela era diferente.,Female,sim,sim,100.0
38446,4,0,0,0,4,4,"Ela é fútil, mas eu gosto.",Female,sim,sim,100.0
38619,1,0,0,3,4,1,"Clyde da quebrada (aham) Capa de revista, a minha mandraka (aham) Se eu tô no toque, ela é mochila.",Female,sim,sim,100.0
38688,2,0,0,2,4,2,Ele é falso e mentiroso vou chamar de.,Male,sim,sim,100.0
38715,3,0,0,1,4,3,Ele é falso e mentiroso vou chamar de loki.,Male,sim,sim,100.0
38763,4,0,0,0,4,4,Ela é viciada em cores.,Female,sim,sim,100.0
38902,3,0,0,0,3,3,"Ela é insaciável, vem pra cima e já me morde.",Female,sim,sim,100.0
39204,3,1,0,0,4,4,"Deus) Ele era trap, agora é pop.",Male,sim,sim,75.0
39214,2,0,0,2,4,2,"Ele travou meus royalties, ele é falido.",Male,sim,sim,100.0
39215,2,1,0,0,3,3,"Precisa de grana, ele só anda liso (hahaha) Caos, fala mais baixo que eu sou patrão, neguin.",Male,sim,sim,66.66666666666667
39274,4,0,0,0,4,4,Ela gosta quando eu mando foto do corte (na régua) Debochada e gosta de aventura (ela é debochada) Disse que meu traje combina com suporte.,Female,sim,sim,100.0
39475,2,0,0,2,4,2,"Conta as hora e a vantagem (ahn, ahn) Ela já é uma peça, eu nem vou gastar na montagem (ah) Se eu fosse uma luz, taria na mais alta voltagem.",Female,sim,sim,100.0
39554,3,0,0,1,4,3,"Menina maluca, instinto piranha.",Female,sim,sim,100.0
39827,2,1,0,0,3,3,Ela é ignorante por cima do pau.,Female,sim,sim,66.66666666666667
39888,2,1,0,1,4,3,Duda porque ela faz completo.,Female,sim,sim,66.66666666666667
40344,3,0,0,1,4,3,"Álcool vai subir pro sangue (vem pra base fuder) Ela é tão bonita, pena que quer todos da minha gangue.",Female,sim,sim,100.0
40345,3,0,0,1,4,3,"Ela é tão bonita, pena que quer todos da minha gangue.",Female,sim,sim,100.0
40575,2,0,0,1,3,2,"[MC Lipi] Tipo ilusão de ótica, quando avistei essa mina gostosa.",Female,sim,sim,100.0
40576,3,0,0,1,4,3,"Eita mina perigosa, oloco, será que ela me namora?",Female,sim,sim,100.0
40585,4,0,0,0,4,4,"Eu me encantei, minha futura mulher [MC Piedro] Ela é empoderada, parece que a pele dela brilha como a.",Female,sim,sim,100.0
40595,1,0,0,2,3,1,"Ela é muito linda, linda, linda.",Female,sim,sim,100.0
40687,2,0,0,1,3,2,Ela é linda e até cego.,Female,sim,sim,100.0
40704,2,0,0,2,4,2,"Porque ela é braba, cada sentada dela é uma pancada.",Female,sim,sim,100.0
40710,3,0,0,1,4,3,Porque ela é braba [Theus.,Female,sim,sim,100.0
40712,1,0,0,3,4,1,"Não notar ela é impossível, seu feitiço é irresistível.",Female,sim,sim,100.0
41472,2,1,0,0,3,3,"Fuma do kunk, ela se garante, ela ignorante por cima do pau.",Female,sim,sim,66.66666666666667
41480,2,1,0,0,3,3,Ela ignorante por cima do pau.,Female,sim,sim,66.66666666666667
41727,3,0,0,1,4,3,Que mina cavala eu vou precisar de uma cela.,Female,sim,sim,100.0
42449,2,0,0,2,4,2,Sem saber do que ela é capaz.,Female,sim,sim,100.0
42452,1,0,0,3,4,1,Ela é diferente de tudo e de todas que já conheci no mundão.,Female,sim,sim,100.0
42453,3,0,0,1,4,3,Ela é linda de vestido colado cabelo alisado sabe bem o que quer.,Female,sim,sim,100.0
42456,2,0,0,1,3,2,Ela é linda com o jeito seduzente.,Female,sim,sim,100.0
44661,2,1,0,1,4,3,Elas não são brincadeira.,Female,sim,sim,66.66666666666667
46169,2,0,0,2,4,2,"Ela é debochada, ela tá que tá.",Female,sim,sim,100.0
46498,2,0,0,2,4,2,Ela me ama tanto que ela fica louca.,Female,sim,sim,100.0
47142,1,0,0,3,4,1,A minha mãe com ele é um grude.,Male,sim,sim,100.0
47381,4,0,0,0,4,4,Natural ele já é bonito.,Male,sim,sim,100.0
47698,2,0,0,2,4,2,Ryan tá casado.,Male,sim,sim,100.0
47863,3,0,0,1,4,3,É que essa mina é louca.,Female,sim,sim,100.0
47885,4,0,0,0,4,4,"Ô, o mundo tem mulheres lindas.",Female,sim,sim,100.0
48523,3,0,0,0,3,3,"Como menino inocente, ela levou meu coração.",Male,sim,sim,100.0
48609,2,0,0,1,3,2,"Bull, elas fica louca.",Female,sim,sim,100.0
48658,3,0,0,1,4,3,Ela é mais forte que todas que eu conheci.,Female,sim,sim,100.0
48780,4,0,0,0,4,4,"Ele era pagodeiro, malokeiro.",Male,sim,sim,100.0
48938,2,0,0,2,4,2,"Mulher bonita mexe com meu coração mas também não me iludo, não.",Female,sim,sim,100.0
49108,1,0,0,2,3,1,Kevin tá solteiro.,Male,sim,sim,100.0
49129,4,0,0,0,4,4,"Ela é minha mandraka, né.",Female,sim,sim,100.0
49295,2,0,0,1,3,2,As mina louca.,Female,sim,sim,100.0
49409,3,0,0,1,4,3,Ela é selvagem e faz malabares.,Female,sim,sim,100.0
49414,2,1,0,0,3,3,Até mulher tá apaixonada.,Female,sim,sim,66.66666666666667
49418,2,0,1,0,3,3,"Até mulher tá apaixonada [MC Rodolfinho] Então vai, cai, rebola pro pai.",Female,sim,sim,66.66666666666667
49434,4,0,0,0,4,4,Acho que eu casei com a mulher gato.,Female,sim,sim,100.0
49449,2,0,0,2,4,2,"Ela é rica, não liga também vai pro seu lado.",Female,sim,sim,100.0
49558,1,0,0,3,4,1,É que as minas são amigas.,Female,sim,sim,100.0
50045,2,1,0,1,4,3,"Só menino bom, atracou de torpedão.",Male,sim,sim,66.66666666666667
50120,2,1,0,0,3,3,"Cai no golpe quem quer, essa mina é treinada.",Female,sim,sim,66.66666666666667
50183,3,0,0,1,4,3,Que garota bela como ela é donzela.,Female,sim,sim,100.0
50187,2,1,0,1,4,3,Gosto do jeito dela de ser menina mulher.,Female,sim,sim,66.66666666666667
50644,1,0,0,2,3,1,"Não, já pra confirmar que ele é o rei, pode apitar.",Male,sim,sim,100.0
50688,2,0,0,1,3,2,"Pedro é hit, só paga pra ver, tem gostosa na festa.",Male,sim,sim,100.0
50703,2,0,0,2,4,2,Ela é bagunceira e tá com a amiguinha.,Female,sim,sim,100.0
51067,2,0,0,2,4,2,Ela é gostosa do bundão e gosta dos bigode.,Female,sim,sim,100.0
51123,2,1,0,0,3,3,Então deixa vim que ela tá quente pra não perder o time.,Female,sim,sim,66.66666666666667
51304,4,0,0,0,4,4,"Lá ela é safada, aqui é presença.",Female,sim,sim,100.0
51397,1,0,0,2,3,1,"Fartura, loucura, hoje ela quer dar pros maloqueiro.",Female,sim,sim,100.0
51581,2,0,0,1,3,2,"Esquema tático, é, menino raro, eu sou.",Male,sim,sim,100.0
51623,2,0,0,2,4,2,GBR Essa menina é muito sexy.,Female,sim,sim,100.0
51913,2,0,0,1,3,2,"Igual arroz, ela fica soltinha.",Female,sim,sim,100.0
53015,1,0,0,2,3,1,Pois sem saber ela é minha alegria.,Female,sim,sim,100.0
53144,1,0,0,2,3,1,"Essa menina mulher, da pele preta.",Female,sim,sim,100.0
53176,2,0,1,0,3,3,Meia-noite ela jura eterno amor.,Female,sim,sim,66.66666666666667
53602,2,0,0,1,3,2,"Senão, não se faz um samba não (Senão é como amar uma mulher só linda.",Female,sim,sim,100.0
53637,3,0,0,0,3,3,E se hoje ele é branco na poesia.,Male,sim,sim,100.0
53639,3,0,0,1,4,3,"Ele é negro demais no coração (Eu, por exemplo, o capitão do mato.",Male,sim,sim,100.0
53749,1,0,0,3,4,1,Eu lembro da moça bonita.,Female,sim,sim,100.0
53767,3,0,0,0,3,3,Era a moça mais linda de toda a cidade.,Female,sim,sim,100.0
53820,2,0,0,1,3,2,Pense nas meninas cegas inexatas.,Female,sim,sim,100.0
54163,3,0,0,0,3,3,Eles são discretos.,Male,sim,sim,100.0
55064,2,0,0,1,3,2,"Um preto, um pobre, um estudante, uma mulher sozinha.",Female,sim,sim,100.0
55071,3,0,0,1,4,3,"Um rapaz delicado e alegre que canta e requebra, é demais.",Male,sim,sim,100.0
55488,3,0,0,1,4,3,É mãe solteira.,Female,sim,sim,100.0
55682,1,0,0,2,3,1,Essa menina mulher.,Female,sim,sim,100.0
55859,2,0,0,2,4,2,"E malandro é malandro, mané é mané (Podes crer que é) Malandro é malandro e mané é mané.",Male,sim,sim,100.0
55869,1,0,0,2,3,1,Diz pra mim (Podes crer que é) Malandro é malandro e mané é mané.,Male,sim,sim,100.0
55906,2,1,0,0,3,3,Olha aí (Podes crer que é) Malandro é malandro.,Male,sim,sim,66.66666666666667
57655,1,0,0,3,4,1,Quando eu falava desses homens sórdidos.,Male,sim,sim,100.0
58044,3,0,0,1,4,3,Ela é bela e fera.,Female,sim,sim,100.0
58351,4,0,0,0,4,4,Toda menina baiana.,Female,sim,sim,100.0
59122,3,0,0,1,4,3,Minha esposa ali tão bela.,Female,sim,sim,100.0
59266,2,0,0,1,3,2,"Tô de namoro com uma moça solteirona, a bonitona quer ser a minha patroa, os meus parentes já estão me criticando estão falando que ela é muito coroa, ela é madura já tem mais de trinta anos mas para mim o que importa é a pessoa, não interessa se ela é coroa panela velha é que faz comida boa.",Female,sim,sim,100.0
59267,3,0,0,1,4,3,"Menina nova é muito bom mas mete medo não tem segredo e vive falando a toa eu só confio em mulher com mais de trinta, sendo distinta a gente erra ela perdoa, para o capricho pode ser de qualquer raça, ser africana, italiana ou alemoa, não interessa se ela é coroa panela velha é que faz comida boa.",Female,sim,sim,100.0
59268,3,0,0,0,3,3,"A nossa vida começa aos quarenta anos, nascem os planos do futuro da pessoa, quem casa cedo logo fica separado, porque a vida de casado as vezes enjoa, dona de casa tem que ser mulher madura, porque ao contrário o problema se amontoa, não interessa se ela é coroa panela velha é que faz comida boa.",Female,sim,sim,100.0
59269,3,0,0,0,3,3,"Vou me casar para ganhar o seu carinho, viver sozinho a gente desacossoa e o gaúcho sem mulher não vale nada e que nem peixe viver fora da lagoa, to resolvido vou contrariar meus parentes aquela gente que vive falando a toa, não interessa se ela é coroa panela velha é que faz comida boa.",Female,sim,sim,100.0
59444,1,0,0,2,3,1,O Chico foi baleado.,Male,sim,sim,100.0
59593,3,0,0,1,4,3,"Tô de namoro com uma moça solteirona, a bonitona quer ser minha patroa, os meus parentes já estão me criticando estão falando que ela é muito coroa, ela é madura já tem mais de trinta anos mais para mim o que importa é a pessoa, não interessa se ela é coroa panela velha é que faz comida boa.",Female,sim,sim,100.0
59594,2,0,0,1,3,2,"Menina nova é muito bom mais mete medo não tem segredo e vive falando a toa eu só confio em mulher com mais de trinta sendo distinta a gente erra ela perdoa, vale o capricho pode ser de qualquer raça, ser africana, italiana ou alemoa, não interessa se ela é coroa panela velha é que faz comida boa.",Female,sim,sim,100.0
59595,2,0,1,1,4,3,"A nossa vida começa aos quarenta anos, nasce os planos do futuro da pessoa, quem casa cedo logo fica separado, porque a vida de casado as vezes enjoa, dona de casa tem que ser mulher madura, porque ao contrário o problema se amontoa, não interessa se ela é coroa panela velha é que faz comida boa.",Female,sim,sim,66.66666666666667
59699,2,0,0,1,3,2,"Arrume tudo mãe querida, que seu filho vai voltar.",Female,sim,sim,100.0
60537,4,0,0,0,4,4,Ela era muito caliente.,Female,sim,sim,100.0
60553,2,0,0,2,4,2,Avisa pro meu pai que ele não é mais caseiro.,Male,sim,sim,100.0
60554,2,1,0,0,3,3,A partir de hoje ele é fazendeiro.,Male,sim,sim,66.66666666666667
60664,2,0,0,0,2,2,Ela é linda de chapéu e bota.,Female,sim,sim,100.0
61269,3,1,0,0,4,4,É na 4x4 que elas ficam loucas.,Female,sim,sim,75.0
62471,3,0,0,0,3,3,Deixei ela plantada linda e maquiada.,Female,sim,sim,100.0
62473,3,0,0,1,4,3,E ainda saí falando que ela tava errada.,Female,sim,sim,100.0
62665,2,0,0,1,3,2,"Ela é louca, muito louca!",Female,sim,sim,100.0
62668,3,0,0,0,3,3,"Lalaiá, ela é louca demais.",Female,sim,sim,100.0
62684,2,0,0,2,4,2,Ela é louca chorus.,Female,sim,sim,100.0
62689,1,0,0,3,4,1,Ela é louca hook.,Female,sim,sim,100.0
62691,3,0,0,1,4,3,"Lalaiá, ela é louca demais (ela é louca) Laiá, lalaiá.",Female,sim,sim,100.0
62697,2,0,0,1,3,2,"E o beijo é caixa e o sexo encaixa, ela é massa fi' verse.",Female,sim,sim,100.0
62718,3,0,0,1,4,3,"Lalaiá, ela é louca.",Female,sim,sim,100.0
62994,2,0,0,2,4,2,Menina bonita.,Female,sim,sim,100.0
63239,3,0,0,1,4,3,"Deusa linda do amor, toma conta de mim.",Female,sim,sim,100.0
63316,3,0,0,1,4,3,Ela é maravilhosa.,Female,sim,sim,100.0
63831,1,0,0,2,3,1,"Que moço igual não há pela cidade, Mande um recado à minha amada, lua vai...",Male,sim,sim,100.0
64291,1,0,0,3,4,1,Menina sou louco por ti.,Female,sim,sim,100.0
65061,2,0,0,2,4,2,Ela já foi esquecida.,Female,sim,sim,100.0
66163,2,0,0,2,4,2,Cristo era bandido.,Male,sim,sim,100.0
66172,3,0,0,1,4,3,Lúcia era uma menina linda.,Female,sim,sim,100.0
66248,3,0,0,0,3,3,Cristo era só ódio por dentro.,Male,sim,sim,100.0
66259,2,0,0,2,4,2,Aquela menina boçal pra quem jurei o meu amor.,Female,sim,sim,100.0
66331,3,0,0,1,4,3,Ela também estava perdida.,Female,sim,sim,100.0
